x1,x2,x3,v1,v2,v3,f,fobj,fcon1,fcon2
206.64,103.32,118.9,0.193548,0.999871,118.9,-0.018828265281855328,0.004302,0.192832,10.59966
110.32,55.16,121.6,0.193548,0.533806,121.6,-0.12183525459937095,0.006698999999999999,0.115526,7.3507440000000015
117.06156000000001,192.89844,107.5,-0.142065,0.999871,107.5,-0.10620113351085034,0.006881,0.126499,7.235023
37.48472,31.675279999999997,141.95,0.048774,0.223097,141.95,0.669197608845708,0.06178300000000001,0.078715,2.000573
20.53632,33.22368,113.8,-0.137032,0.17341900000000002,113.8,0.8686303113784432,0.139119,0.139119,0.805177
125.25333300000001,62.62666700000001,118.75,0.193548,0.606065,118.75,-0.1024490895535233,0.006490999999999999,0.137595,8.072230000000001
72.613333,145.226667,104.65,-0.193548,0.7027100000000001,104.65,0.01569463282309633,0.010805,0.08369700000000001,5.327861
89.3214,124.8786,108.1,-0.096387,0.690968,108.1,0.12726772952171514,0.014103999999999997,0.08359,5.127422
144.106667,72.053333,120.75,0.193548,0.69729,120.75,-0.1213494175726845,0.005947999999999999,0.13560899999999998,7.9254570000000015
184.42424,105.09576000000001,115.05,0.15909700000000002,0.9339350000000001,115.05,-0.08015289836657599,0.002486,0.187683,11.157074
51.862533,49.497467,128.6,0.013548,0.326968,128.6,0.6910426701698049,0.067212,0.07460399999999999,1.6503450000000002
146.65644,139.22356000000002,141.7,0.015097,0.9221940000000001,141.7,0.7295801039093773,0.078928,0.089503,1.6139629999999998
128.32343999999998,181.63656,116.7,-0.099871,0.999871,116.7,0.3247195193279098,0.022614,0.072756,3.802061
77.1036,153.0564,108.2,-0.191613,0.742452,108.2,0.2557430848570089,0.019128,0.058097,3.8667199999999995
137.088,100.912,113.2,0.088258,0.767742,113.2,-0.13918833499849353,0.005492,0.132179,8.159267999999999
154.98,154.98,111.45,0.0,0.999871,111.45,-0.14162758480156112,0.004881,0.14111400000000002,8.050543
136.08,68.04,120.4,0.193548,0.658452,120.4,-0.1247232895727628,0.006017,0.131958,8.121361
98.453693,165.026307,125.0,-0.14670999999999998,0.849935,125.0,0.8181902286413196,0.116164,0.123152,1.084678
125.89471999999999,82.42528,146.0,0.12116099999999999,0.672,146.0,0.4545962079405638,0.031570999999999995,0.069531,3.16973
206.64,103.32,116.7,0.193548,0.999871,116.7,0.09854142858134163,0.003704,0.227791,12.718321000000001
206.64,103.32,137.0,0.193548,0.999871,137.0,0.08508358989760341,0.012749,0.10440899999999999,5.500219
104.96752,145.35248,108.4,-0.093677,0.807484,108.4,-0.06905761220603425,0.008499,0.105081,6.424232
140.5488,83.7312,111.65,0.147097,0.723484,111.65,-0.07207329383381372,0.002757,0.18823399999999998,10.973367
165.00204,144.95796,109.85,0.037548000000000005,0.999871,109.85,-0.05112958395205197,0.00262,0.19530699999999998,10.889756
97.481813,186.998187,102.5,-0.18270999999999998,0.9176770000000001,102.5,-0.12761842115912514,0.00487,0.14861300000000002,8.838072
63.71904,84.12096,106.8,-0.08012899999999999,0.47690299999999997,106.8,0.08741422052958722,0.012833,0.071707,4.861484
44.687067,36.512933000000004,120.1,0.058452,0.261935,120.1,0.4860276411906352,0.034419,0.056223,2.661363
117.14724,102.09276,105.75,0.039871,0.707226,105.75,-0.013678100224501694,0.003288,0.201403,12.232524
13.53744,16.702560000000002,100.0,-0.060774,0.097548,100.0,0.5078759227326449,0.036613,0.052414999999999996,2.376704
156.286013,132.953987,120.0,0.046839,0.933032,120.0,0.17519077772365646,0.015795,0.084276,4.684522
163.34892,146.61108000000004,112.65,0.031355,0.999871,112.65,-0.1434419985298125,0.004077,0.15086,8.712869
109.41569299999999,100.864307,124.95,0.023613,0.678323,124.95,0.49415490012546553,0.035213,0.060169000000000014,2.5628599999999997
42.390227,70.449773,124.35,-0.144387,0.364,124.35,1.1125646225963703,0.207298,0.207298,0.560029
183.08303999999998,126.87696000000001,117.55,0.10529000000000001,0.999871,117.55,-0.04400370489605382,0.008182,0.140792,7.668974
78.49072,134.02928,105.9,-0.15174200000000002,0.6855479999999999,105.9,-0.01607592484989349,0.009984999999999999,0.089392,5.680098
64.586667,129.173333,105.9,-0.193548,0.6250319999999999,105.9,0.1760202426523065,0.015826,0.067017,4.09657
